ID1,ID2,lat,long,el
204,43048571,31.040999,-91.258476,92
205,43048572,31.040521,-91.249062,68
206,43048573,31.040042,-91.239647,90
207,43048574,31.039562,-91.230232,78
208,43048575,31.03908,-91.220818,80
209,43048576,31.038597,-91.211403,100
210,43041286,31.050533,-91.286171,82
211,43041287,31.050059,-91.276756,93
212,43041288,31.049583,-91.267342,93
213,43041289,31.049106,-91.257927,76
214,43041290,31.048628,-91.248505,76
215,43041291,31.048149,-91.23909,76
216,43041292,31.047668,-91.229675,91
217,43041293,31.047186,-91.220261,85
218,43041294,31.046704,-91.210846,91
219,43034005,31.058166,-91.276207,106
220,43034006,31.05769,-91.266785,99
221,43034007,31.057213,-91.25737,78
222,43034008,31.056735,-91.247948,91
223,43034009,31.056255,-91.238533,76
224,43034010,31.055775,-91.229118,91
225,43034011,31.055293,-91.219704,91
226,43034012,31.05481,-91.210281,91
227,43034013,31.054326,-91.200867,106
228,43034014,31.053841,-91.191452,73
229,43026723,31.066274,-91.27565,106
230,43026724,31.065798,-91.266235,91
231,43026725,31.065321,-91.256813,88
232,43026726,31.064842,-91.247398,94
233,43026727,31.064363,-91.237976,88
234,43026728,31.063882,-91.228561,85
235,43026729,31.0634,-91.219139,99
236,43026730,31.062917,-91.209724,91
237,43026731,31.062433,-91.200302,91
238,43026732,31.061947,-91.190887,91
239,43026733,31.061461,-91.181465,91
240,43019442,31.073906,-91.265678,106
241,43019443,31.073429,-91.256256,91
242,43019444,31.07295,-91.246841,106
243,43019445,31.072471,-91.237419,96
244,43019446,31.07199,-91.227997,99
245,43019447,31.071508,-91.218582,91
246,43019448,31.071025,-91.20916,97
247,43019449,31.07054,-91.199738,91
248,43019450,31.070055,-91.190323,95
249,43019451,31.069568,-91.180901,91
250,43019452,31.06908,-91.171486,91
251,43012160,31.082015,-91.265121,107
252,43012161,31.081537,-91.255707,107
253,43012162,31.081059,-91.246284,106
254,43012163,31.080579,-91.236862,106
255,43012164,31.080098,-91.22744,106
256,43012165,31.079616,-91.218018,104
257,43012166,31.079133,-91.208595,103
258,43012167,31.078648,-91.199181,94
259,43012168,31.078163,-91.189758,100
260,43012169,31.077676,-91.180336,91
261,43012170,31.077188,-91.170914,93
262,43012171,31.076698,-91.161499,105
263,43004879,31.089646,-91.25515,109
264,43004880,31.089168,-91.245728,107
265,43004881,31.088688,-91.236305,106
266,43004882,31.088207,-91.226883,98
267,43004883,31.087725,-91.217461,91
268,43004884,31.087241,-91.208038,103
269,43004885,31.086757,-91.198616,100
270,43004886,31.086271,-91.189194,95
271,43004887,31.085784,-91.179771,97
272,43004888,31.085296,-91.170349,106
273,43004889,31.084806,-91.160927,106
274,43004890,31.084316,-91.151505,91
275,43004891,31.083824,-91.142082,97
276,42997596,31.098233,-91.264015,91
277,42997597,31.097756,-91.254593,103
278,42997598,31.097277,-91.245171,106
279,42997599,31.096797,-91.235741,100
280,42997600,31.096316,-91.226318,94
281,42997601,31.095834,-91.216896,85
282,42997602,31.095351,-91.207474,76
283,42997603,31.094866,-91.198051,78
284,42997604,31.09438,-91.188629,85
285,42997605,31.093893,-91.179207,77
